index,open,high,close,min
745200,1.20037,1.201,1.20037,1.201
745259,1.20139,1.20139,1.20114,1.20117
745319,1.20106,1.20108,1.20093,1.20096
745379,1.2016,1.20171,1.20156,1.20171
745439,1.20154,1.2016,1.20154,1.20159
745499,1.20092,1.20094,1.20092,1.20094
745559,1.20122,1.20129,1.20122,1.20127
745619,1.20171,1.20172,1.20171,1.20171
745677,1.20245,1.20254,1.20243,1.2025
745737,1.20282,1.20294,1.20265,1.20272
745797,1.20363,1.20387,1.20348,1.20375
745857,1.20449,1.20452,1.2042,1.2045
745917,1.20704,1.20754,1.20701,1.2075
745977,1.20685,1.20706,1.20684,1.20701
746037,1.20591,1.20605,1.2058,1.20581
746097,1.20628,1.20632,1.20615,1.20618
746157,1.20573,1.20586,1.20563,1.20563
746217,1.20389,1.20397,1.20356,1.2038
746277,1.20443,1.2046,1.20436,1.20455
746337,1.2049,1.205,1.20479,1.2049
746397,1.20445,1.20452,1.20435,1.20448
746457,1.20445,1.20445,1.20434,1.2044
746517,1.20534,1.20543,1.20522,1.20522
746577,1.20594,1.20603,1.20594,1.20598
746637,1.20571,1.20576,1.20571,1.20571
746696,1.20571,1.20577,1.20569,1.20573
746756,1.20615,1.20618,1.20613,1.20616
746816,1.20591,1.20594,1.2058,1.2058
746876,1.20527,1.20528,1.20521,1.20526
746936,1.20423,1.20432,1.20417,1.20419
746996,1.20468,1.2047,1.20467,1.20469
747056,1.20511,1.20511,1.20503,1.20509
747116,1.20579,1.20588,1.20575,1.2058
747176,1.20449,1.20468,1.20449,1.20462
747236,1.20391,1.20396,1.2038,1.20395
747296,1.20426,1.20427,1.20425,1.20426
747356,1.2038,1.20381,1.20371,1.20371
747416,1.20177,1.20188,1.20176,1.20181
747476,1.2015,1.20152,1.2014,1.2014
747536,1.20232,1.20234,1.20217,1.20219
747596,1.20328,1.20328,1.203,1.20308
747656,1.20155,1.20155,1.20096,1.20116
747716,1.20232,1.20242,1.20221,1.20227
747776,1.20299,1.20308,1.20298,1.20302
747836,1.2027,1.20276,1.20266,1.20269
747896,1.20273,1.20296,1.20249,1.20282
747956,1.20163,1.20183,1.20158,1.20165
748016,1.20123,1.20123,1.20101,1.20102
748076,1.20135,1.20138,1.20129,1.20133
748136,1.20103,1.20114,1.20103,1.20107
748196,1.20106,1.20108,1.20098,1.20102
748256,1.20097,1.20098,1.20092,1.20092
748316,1.20077,1.20081,1.20074,1.20075
748376,1.20176,1.20177,1.20168,1.20172
748436,1.20145,1.20149,1.20144,1.20149
748496,1.20177,1.20177,1.20154,1.20154
748556,1.20189,1.20192,1.2018,1.20181
748616,1.20277,1.20278,1.2027,1.20278
748676,1.20281,1.20296,1.20264,1.20269
748736,1.20256,1.20268,1.20249,1.20268
748796,1.20431,1.20434,1.20422,1.20423
748856,1.20512,1.20512,1.20505,1.20509
748916,1.2062,1.20624,1.20608,1.2061
748976,1.20707,1.20707,1.20671,1.20676
749036,1.20627,1.20643,1.20621,1.20635
749096,1.20822,1.20834,1.20811,1.20813
749156,1.20743,1.20766,1.20738,1.20757
749216,1.20632,1.20642,1.20629,1.20634
749276,1.20743,1.20756,1.20734,1.20751
749336,1.20648,1.20653,1.20646,1.2065
749396,1.20715,1.20725,1.20715,1.20719
749456,1.20685,1.20689,1.20669,1.2068
749516,1.20666,1.20666,1.2066,1.2066
749576,1.2071,1.20722,1.20709,1.20716
749636,1.20664,1.20666,1.2065,1.20666
749696,1.20772,1.2079,1.20765,1.20765
749756,1.20721,1.20721,1.20705,1.20705
749816,1.2071,1.20714,1.20708,1.20714
749876,1.20743,1.20744,1.2074,1.20741
749934,1.20738,1.20745,1.20734,1.20743
749994,1.20714,1.20714,1.20697,1.20698
750054,1.20566,1.2059,1.20554,1.2059
750114,1.20573,1.20602,1.2056,1.206
750174,1.20526,1.20527,1.20511,1.20512
750234,1.20453,1.20475,1.20419,1.20475
750294,1.20498,1.205,1.20482,1.20498
750354,1.20528,1.20528,1.20494,1.20496
750414,1.20475,1.20488,1.20472,1.20487
750474,1.20518,1.20522,1.20484,1.20496
750534,1.20304,1.20345,1.20256,1.20287
750594,1.2036,1.20387,1.20346,1.20381
750654,1.20381,1.20391,1.20377,1.20382
750714,1.20471,1.20472,1.20467,1.2047
750774,1.20453,1.20465,1.20453,1.20464
750834,1.20473,1.2048,1.2047,1.20474
750892,1.20416,1.20419,1.20415,1.20418
750952,1.2026,1.20264,1.20259,1.20262
751011,1.20313,1.20368,1.20313,1.20362
751070,1.20369,1.20371,1.20368,1.2037
751128,1.20426,1.20443,1.20426,1.20441
751188,1.20443,1.20447,1.20442,1.20443
751248,1.20356,1.20356,1.20339,1.20343
751308,1.20324,1.20329,1.20324,1.20328
751368,1.20253,1.20253,1.20249,1.20249
751428,1.20199,1.202,1.20193,1.20195
751488,1.20139,1.20143,1.20121,1.20121
751548,1.19928,1.19952,1.19926,1.1995
751608,1.19906,1.19906,1.19885,1.19899
751668,1.19896,1.19933,1.19895,1.19928
751728,1.20037,1.20042,1.2003,1.20042
751788,1.19861,1.19865,1.1983,1.1983
751848,1.19714,1.19731,1.197,1.19705
751908,1.19701,1.19723,1.19701,1.19717
751968,1.1967,1.19671,1.19657,1.19657
752028,1.19753,1.19775,1.19751,1.19775
752088,1.19723,1.19734,1.19717,1.19729
752148,1.1977,1.19773,1.19739,1.19739
752208,1.19621,1.19627,1.19616,1.19617
752267,1.19626,1.1963,1.19619,1.19627
752327,1.19668,1.19669,1.19658,1.19666
752386,1.19667,1.19667,1.1966,1.19667
752446,1.1968,1.1968,1.19661,1.19671
752506,1.19693,1.19693,1.19681,1.19691
752566,1.19712,1.19714,1.19705,1.19709
752626,1.19669,1.19686,1.19668,1.19684
752686,1.19727,1.19728,1.19724,1.19726
752745,1.19716,1.19716,1.19711,1.19712
752804,1.1968,1.1968,1.1967,1.1967
752864,1.19648,1.19649,1.19633,1.19644
752924,1.1956,1.19596,1.19556,1.19596
752984,1.19512,1.19526,1.19496,1.19504
753044,1.19393,1.19393,1.19361,1.19362
753104,1.19386,1.19392,1.19382,1.19384
753164,1.19278,1.19284,1.19274,1.19282
753224,1.1928,1.19286,1.19272,1.19285
753284,1.19332,1.19337,1.19322,1.19323
753344,1.19208,1.19225,1.19194,1.19225
753404,1.19178,1.19205,1.19176,1.19196
753464,1.19297,1.19311,1.19294,1.19301
753524,1.19211,1.1922,1.1921,1.19217
753584,1.19208,1.1922,1.19201,1.19206
753644,1.19304,1.19308,1.19294,1.19303
753704,1.1932,1.19327,1.19317,1.19327
753764,1.1937,1.19385,1.19363,1.19383
753824,1.19353,1.19353,1.1935,1.1935
753883,1.19353,1.19355,1.19339,1.19344
753942,1.19282,1.19302,1.19282,1.19301
754002,1.19373,1.19376,1.19363,1.19364
754062,1.19449,1.19451,1.19439,1.19447
754122,1.19479,1.19486,1.19472,1.19486
754182,1.19418,1.19419,1.19412,1.19418
754242,1.1936,1.19373,1.1936,1.19373
754302,1.19278,1.19295,1.19276,1.19293
754362,1.19288,1.19289,1.19275,1.19287
754422,1.1935,1.19367,1.19343,1.1935
754482,1.19462,1.19481,1.19461,1.19476
754542,1.19386,1.19393,1.19375,1.19375
754602,1.19946,1.20009,1.19942,1.20008
754662,1.20055,1.20086,1.20055,1.20086
754722,1.19979,1.1998,1.19936,1.19949
754782,1.19947,1.19957,1.19936,1.19937
754842,1.19857,1.19857,1.19842,1.19849
